community,size
0,76
1,48
2,73
3,247
4,135
5,4
6,157
7,76
8,163
9,143
10,159
11,87
12,251
13,166
14,47
15,72
16,96
17,195
18,44
19,50
20,14
21,132
22,140
23,68
24,71
25,77
26,91
27,14
28,46
29,73
30,11
31,49
