community,size,modularity_G_co
0,1024,0.7502307240183007
1,1150,0.7502307240183007
2,345,0.7502307240183007
3,834,0.7502307240183007
4,146,0.7502307240183007
5,2,0.7502307240183007
6,2,0.7502307240183007
7,654,0.7502307240183007
8,673,0.7502307240183007
9,264,0.7502307240183007
10,338,0.7502307240183007
11,255,0.7502307240183007
12,590,0.7502307240183007
13,2,0.7502307240183007
14,2,0.7502307240183007
15,319,0.7502307240183007
16,2,0.7502307240183007
17,74,0.7502307240183007
18,130,0.7502307240183007
19,51,0.7502307240183007
20,207,0.7502307240183007
21,3,0.7502307240183007
22,2,0.7502307240183007
23,2,0.7502307240183007
24,222,0.7502307240183007
25,2,0.7502307240183007
26,44,0.7502307240183007
27,2,0.7502307240183007
28,3,0.7502307240183007
29,5,0.7502307240183007
30,47,0.7502307240183007
31,74,0.7502307240183007
32,44,0.7502307240183007
33,50,0.7502307240183007
34,65,0.7502307240183007
35,9,0.7502307240183007
36,45,0.7502307240183007
37,378,0.7502307240183007
38,35,0.7502307240183007
39,45,0.7502307240183007
40,61,0.7502307240183007
41,33,0.7502307240183007
42,43,0.7502307240183007
43,41,0.7502307240183007
44,46,0.7502307240183007
45,19,0.7502307240183007
46,66,0.7502307240183007
47,110,0.7502307240183007
48,8,0.7502307240183007
49,27,0.7502307240183007
50,374,0.7502307240183007
51,3,0.7502307240183007
52,50,0.7502307240183007
53,20,0.7502307240183007
54,3,0.7502307240183007
55,4,0.7502307240183007
56,2,0.7502307240183007
57,22,0.7502307240183007
58,2,0.7502307240183007
59,6,0.7502307240183007
60,4,0.7502307240183007
61,10,0.7502307240183007
62,5,0.7502307240183007
